timestamp,price,quantity,buyer,seller,spread
2575,100.84,2,39,5,0.8500000000000085
2578,100.84,2,55,5,0.8500000000000085
2582,99.52,1,38,0,0.8500000000000085
2582,99.52,1,5,0,0.8500000000000085
2585,99.52,3,5,51,0.8500000000000085
2586,100.84,1,55,5,0.8500000000000085
2586,100.84,1,55,6,0.8500000000000085
2586,99.52,1,5,13,0.8500000000000085
2586,99.52,3,9,13,0.8500000000000085
2593,99.52,2,9,0,0.8500000000000085
2597,99.52,3,10,29,0.8500000000000085
2601,99.52,2,10,25,0.8500000000000085
2601,99.52,1,10,25,0.8500000000000085
2602,100.84,1,55,6,0.8500000000000085
2602,100.84,3,17,6,0.8500000000000085
2606,99.52,4,10,35,0.8500000000000085
2607,99.52,1,9,43,0.8500000000000085
2607,100.84,3,48,8,0.8500000000000085
2612,99.52,2,9,51,0.8500000000000085
2617,99.52,2,9,0,0.8500000000000085
2624,99.52,2,8,0,0.8500000000000085
2631,100.84,2,0,8,0.8500000000000085
2634,99.52,3,8,51,0.8500000000000085
2640,99.52,4,9,30,0.8500000000000085
2649,99.52,1,9,13,0.8500000000000085
2651,100.84,2,58,6,0.8500000000000085
2653,99.52,1,29,18,0.8500000000000085
2654,100.84,1,48,6,0.8500000000000085
2658,99.52,1,29,0,0.8500000000000085
2658,99.52,1,4,0,0.8500000000000085
2658,100.84,2,54,6,0.8500000000000085
2658,100.84,2,54,8,0.8500000000000085
2659,100.84,2,58,8,0.8500000000000085
2661,99.52,2,4,35,0.8500000000000085
2663,99.52,2,4,51,0.8500000000000085
2664,99.52,3,29,43,0.8500000000000085
2673,100.84,1,54,8,0.8500000000000085
2673,99.52,1,29,15,0.8500000000000085
2673,99.52,2,6,15,0.8500000000000085
2682,100.84,4,17,6,0.8500000000000085
2686,99.52,2,6,30,0.8500000000000085
2690,99.52,1,6,21,0.8500000000000085
2690,99.52,2,8,21,0.8500000000000085
2698,100.84,1,17,6,0.8500000000000085
2698,100.84,1,17,51,0.8500000000000085
2698,100.84,1,17,8,0.8500000000000085
2700,99.52,2,8,30,0.8500000000000085
2703,99.52,1,8,29,0.8500000000000085
2706,100.84,2,54,8,0.8500000000000085
2713,99.52,4,5,25,0.8500000000000085
2717,99.52,1,5,25,0.8500000000000085
2717,99.52,2,5,25,0.8500000000000085
2718,100.84,2,39,8,0.8500000000000085
2718,100.84,1,39,8,0.8500000000000085
2719,99.52,3,5,13,0.8500000000000085
2719,99.52,1,5,13,0.8500000000000085
2721,99.52,3,5,32,0.8500000000000085
2726,100.84,1,40,8,0.8500000000000085
2727,100.84,3,44,8,0.8500000000000085
2727,100.85000000000001,1,44,57,0.8600000000000136
2729,99.52,1,5,0,0.8600000000000136
2729,99.52,1,5,0,0.8600000000000136
2733,100.85000000000001,2,17,57,0.8600000000000136
2733,100.85000000000001,1,17,48,0.8600000000000136
2736,99.52,1,5,13,0.8600000000000136
2736,100.85000000000001,3,39,48,0.8600000000000136
2736,100.85000000000001,1,39,34,0.8600000000000136
2740,99.52,1,5,38,0.8600000000000136
2741,99.52,2,5,0,0.8600000000000136
2747,99.52,2,4,0,0.8600000000000136
2748,99.52,1,4,15,0.8600000000000136
2751,100.85000000000001,3,48,34,0.8600000000000136
2751,100.85000000000001,1,48,10,0.8600000000000136
2755,100.85000000000001,2,0,10,0.8600000000000136
2757,99.52,2,4,51,0.8600000000000136
2760,100.85000000000001,1,57,10,0.8600000000000136
2768,100.85000000000001,1,57,10,0.8600000000000136
2768,100.85000000000001,1,57,39,0.8600000000000136
2771,99.52,2,9,30,0.8600000000000136
2771,100.85000000000001,1,0,39,0.8600000000000136
2771,100.85000000000001,1,0,10,0.8600000000000136
2773,100.85000000000001,4,39,10,0.8600000000000136
2780,99.52,3,9,21,0.8600000000000136
2786,100.85000000000001,2,34,10,0.8600000000000136
2787,99.52,3,37,32,0.8600000000000136
2795,100.85000000000001,2,39,10,0.8600000000000136
2803,100.85000000000001,1,44,10,0.8600000000000136
2804,99.52,4,9,30,0.8600000000000136
2804,99.52,1,9,21,0.8600000000000136
2804,99.52,1,4,21,0.8600000000000136
2804,99.52,2,4,15,0.8600000000000136
2808,100.85000000000001,2,34,8,0.8600000000000136
2814,100.85000000000001,2,17,8,0.8600000000000136
2815,99.52,2,4,32,0.8600000000000136
2815,99.52,1,9,32,0.8600000000000136
2815,99.52,2,9,0,0.8600000000000136
2816,99.52,1,9,38,0.8600000000000136
2820,99.52,1,9,21,0.8600000000000136
2829,100.85000000000001,1,54,8,0.8600000000000136
2829,100.85000000000001,2,54,8,0.8600000000000136
2829,100.85000000000001,2,0,8,0.8600000000000136
2831,99.52,2,4,13,0.8600000000000136
2832,100.85000000000001,1,0,8,0.8600000000000136
